,name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political
37,Jeff Bezos,18,2014,1995,Amazon,founder,software, new,50,male,United States,USA,0.0,North America,founder non-finance,32.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
38,Larry Ellison,19,1996,1977,Oracle,founder,software, new,51,male,United States,USA,8100000000000.0,North America,founder non-finance,6.0,New Sectors,True,Technology-Computer,not inherited,True,True
39,Sergey Brin,19,2014,1998,Google,founder,software, new,40,male,United States,USA,0.0,North America,founder non-finance,31.8,New Sectors,True,Technology-Computer,not inherited,True,True
40,Leo Kirch,20,2001,1956,Kirch Group,founder,communication,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,12.0,Non-Traded Sectors,True,Media,not inherited,True,True
41,Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.0,East Asia,self-made finance,31.0,Financial,True,Diversified financial,not inherited,True,True
42,Gerard Mulliez,21,1996,1961,Auchan,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,founder non-finance,5.7,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
43,Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,communication,aquired,81,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True
44,Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,communication,aquired,77,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True
45,Mark Zuckerberg,21,2014,2004, Facebook,founder,software, new,29,male,United States,USA,0.0,North America,founder non-finance,28.5,New Sectors,True,Technology-Computer,not inherited,True,True
46,Robert Kuok,22,1996,1980,Tana Exploration Company,relation,raw materials,new,73,male,Malaysia,MYS,101000000000.0,East Asia,self-made finance,5.7,Financial,True,Money Management,not inherited,True,True
47,Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,finance,new,55,male,Singapore,SGP,96400967339.0,East Asia,inherited,5.7,Financial,True,Diversified financial,father,True,True
48,Walter Thomas and Raymond Kwok,23,2001,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,11.5,Financial,True,Real Estate,father,True,True
49,Karl Albrecht,23,2014,1914,Aldi Sud,relation,service,new,94,male,Germany,DEU,0.0,Europe,executive,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
50,Cheng Yu-tung,24,1996,1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.5,Financial,True,Real Estate,father,True,True
51,John Kluge,24,2001,1956,Metropolitan Broadcasting Corporation,chairman,communication,new,86,male,United States,USA,10600000000000.0,North America,executive,10.9,Non-Traded Sectors,True,Media,not inherited,True,True
52,Walter Haefner,25,1996,1957,Automation Center,founder,software,new,85,male,Switzerland,CHE,330000000000.0,Europe,founder non-finance,5.5,New Sectors,True,Technology-Computer,not inherited,True,True
53,Carlos Slim Helu,25,2001,1990,Telmex,founder,communication,privatization,61,male,Mexico,MEX,725000000000.0,Latin America,privatized and resources,10.8,Non-Traded Sectors,True,Media,not inherited,True,True
54,George Soros,26,2014,1969,Soros Fund Management,founder,finance,new,83,male,United States,USA,0.0,North America,self-made finance,23.0,Financial,True,Hedge funds,not inherited,True,True
55,Michael Otto,27,1996,1950,Otto Group,relation,retail,new,52,male,Germany,DEU,2500000000000.0,Europe,inherited,5.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
56,Ernesto Bertarelli,27,2001,1906,Serono,relation,medicals,new,35,male,Switzerland,CHE,279000000000.0,Europe,inherited,10.5,New Sectors,True,Technology-Medical,3rd generation,True,True
57,Michael Dell,27,2001,1984,Dell,founder,software,new,36,male,United States,USA,10600000000000.0,North America,founder non-finance,10.5,New Sectors,True,Technology-Computer,not inherited,True,True
58,David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,communication,acquired,56,male,Canada,CAN,0.0,North America,inherited,22.6,Non-Traded Sectors,True,Media,father,True,True
59,Fong Teng,28,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Traded Sectors,True,Consumer,father,True,True
60,Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Financial,True,Real Estate,father,True,True
61,Silvio Berlusconi,29,2001,1978,Fininvest,founder,communication,new,64,male,Italy,ITA,1160000000000.0,Europe,privatized and resources,10.3,Non-Traded Sectors,True,Media,not inherited,True,True
62,Dieter Schwarz,29,2014,1930,Schwarz Group,relation,service,new,74,male,Germany,DEU,0.0,Europe,inherited,21.1,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
63,Yasuo Takei,30,1996,0,Takefuji,founder,finance,new,66,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,5.2,Financial,True,Money Management,not inherited,True,True
64,Abigail Johnson,30,2001,1946,Fidelity Investments,relation,finance,new,39,female,United States,USA,10600000000000.0,North America,inherited,9.1,Financial,True,Money Management,3rd generation,True,True
65,Antonio Ermirio de Moraes,31,1996,1919,Votorantim Group,relation,raw materials,new,0,male,Brazil,BRA,854000000000.0,Latin America,inherited,5.1,Traded Sectors,True,Non-consumer industrial,father,True,True
66,Eka Tjipta Widjaja,32,1996,1962,Sinar Mas Group,founder,finance,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,5.1,Financial,True,Diversified financial,not inherited,True,True
67,Merck family,34,1996,1668,Merck,,medicals,aquired,0,,Germany,DEU,2500000000000.0,Europe,inherited,5.0,New Sectors,True,Technology-Medical,not inherited,True,True
68,Silvio Berlusconi,35,1996,1978,Fininvest,founder,communication,new,59,male,Italy,ITA,1310000000000.0,Europe,privatized and resources,5.0,Non-Traded Sectors,True,Media,not inherited,True,True
69,Charles Ergen,35,2001,1980,dish networtk,founder,communication,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True
70,Ted Turner,35,2001,1970,CNN,founder,communication,aquired,62,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True
71,Lee Shau Kee,35,2014,1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,0.0,East Asia,self-made finance,19.6,Financial,True,Diversified financial,not inherited,True,True
72,Mohamed Salim Bin Mahfouz,36,1996,1953,National Comercial bank of Saudi Arabia,relation,finance,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,inherited,5.0,Financial,True,Money Management,father,True,True
73,Steve Ballmer,36,2014,1975,Microsoft,CEO,software,new,57,male,United States,USA,0.0,North America,executive,19.3,New Sectors,True,Technology-Computer,not inherited,True,True
74,"Theo Albrecht, Jr.",36,2014,1913,Aldi Nord,Relation,service,new,63,male,Germany,DEU,0.0,Europe,inherited,19.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
75,Lee Kun-Hee,37,1996,1938,Samsung,relation,software,new,0,male,South Korea,KOR,603000000000.0,East Asia,inherited,4.9,New Sectors,True,Technology-Computer,father,True,True
76,Yasuo Takei,37,2001,0,Takefuji,founder,finance,new,71,male,Japan,JPN,4160000000000.0,East Asia,self-made finance,8.3,Financial,True,Money Management,not inherited,True,True
77,John Walton,38,1996,1962,Walmart,relation,retail, new,50,male,United States,USA,8100000000000.0,North America,inherited,4.8,Traded Sectors,True,Consumer,father,True,True
78,Jim Walton,39,1996,1962,Walmart,relation,retail, new,48,male,United States,USA,8100000000000.0,North America,inherited,4.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
79,Rupert Murdoch,39,2001,1923,News Limited,relation,communication,new,70,male,United States,USA,10600000000000.0,North America,inherited,7.8,Non-Traded Sectors,True,Media,father,True,True
80,Helen Walton,40,1996,1962,Walmart,relation,retail, new,76,female,United States,USA,8100000000000.0,North America,inherited,4.7,Traded Sectors,True,Consumer,spouse/widow,True,True
81,Alisher Usmanov,40,2014,1999,Metalloinvest,founder,raw materials,new,60,male,Russia,RUS,0.0,Europe,privatized and resources,18.6,Resource Related,True,Non-consumer industrial,not inherited,True,True
82,Mukesh Ambani,40,2014,1980,Reliance,relation,raw materials,new,56,male,India,IND,0.0,South Asia,inherited,18.6,Resource Related,True,Energy,not inherited,True,True
83,Alice Walton,41,1996,1962,Walmart,relation,retail, new,47,female,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
84,S Robson Walton,42,1996,1962,Walmart,relation,retail, new,52,male,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
85,Azim Premji,42,2001,1945,Wipro Limited,relation,software,new,55,male,India,IND,494000000000.0,South Asia,inherited,6.9,New Sectors,True,Technology-Computer,father,True,True
86,Masayoshi Son,42,2014,1981,Softbank,founder/CEO,software,new,56,male,Japan,JPN,0.0,East Asia,founder non-finance,18.4,New Sectors,True,Technology-Computer,not inherited,True,True
87,Michael Otto,42,2014,1949,Otto Group,relation,retail,new,70,male,Germany,DEU,0.0,Europe,inherited,18.4,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
88,Masayoshi Son,44,1996,1981,Softbank,founder/CEO,software,new,38,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,4.6,Non-Traded Sectors,True,Media,not inherited,True,True
89,Friedrich Flick,45,1996,1919,Friedrich Flick Industrial Holding,relation,raw materials,new,69,male,Germany,DEU,2500000000000.0,Europe,inherited,4.5,Financial,True,Money Management,father,True,True
90,Gerald Cavendish Grosvenor,45,2001,1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,1530000000000.0,Europe,inherited,6.5,Financial,True,Real Estate,5th generation or longer,True,True
91,Kirk Kerkorian,46,2001,1924,MGM Grand,investor,real estate,aquired,83,male,United States,USA,10600000000000.0,North America,self-made finance,6.4,Financial,True,Real Estate,not inherited,True,True
92,Gina Rinehart,46,2014,1955,Hancock Prospecting,relation,raw materials,new,60,female,Australia,AUS,0.0,North America,inherited,17.7,Resource Related,True,Mining and metals,father,True,True
93,Mikhail Fridman,47,2014,1989,Alfa Group,founder,finance,new,49,male,Russia,RUS,0.0,Europe,privatized and resources,17.6,Resource Related,True,Energy,not inherited,True,True
94,Donald Newhouse,48,1996,1909,Advance Publications,relation,communication,new,66,male,United States,USA,8100000000000.0,North America,inherited,4.5,Non-Traded Sectors,True,Media,father,True,True
95,Michael Dell,48,2014,1984,Dell,founder,software,new,49,male,United States,USA,0.0,North America,founder non-finance,17.5,New Sectors,True,Technology-Computer,not inherited,True,True
96,Samuel Newhouse,49,1996,1909,Advance Publications,relation,communication,new,68,male,United States,USA,8100000000000.0,North America,inherited,4.5,Non-Traded Sectors,True,Media,father,True,True
97,Dhanin Chearavanont,50,1996,1921,Charoen Pokphand (CP Group),relation,retail,new,56,male,Thailand,THA,182000000000.0,East Asia,inherited,4.2,Traded Sectors,True,Consumer,father,True,True
98,George Soros,50,2001,1969,Soros Fund Management,founder,finance,new,70,male,United States,USA,10600000000000.0,North America,self-made finance,6.0,Financial,True,Hedge funds,not inherited,True,True
99,Abigail Johnson,50,2014,1946,Fidelity Investments,relation,finance,new,52,female,United States,USA,0.0,North America,inherited,17.3,Financial,True,Money Management,3rd generation,True,True
100,Boehringer family,51,1996,1885,Poehringer Ingelheim,relation,medicals,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,4.1,New Sectors,True,Technology-Medical,3rd generation,True,True
101,David Sainsbury,52,1996,1869,Sainsbury's,relation,service,new,55,male,United Kingdom,GBR,1310000000000.0,Europe,inherited,4.1,Non-Traded Sectors,True,"Retail, Restaurant",4th generation,True,True
102,Lee Shau Kee,52,2001,1976,Henderson Land Development,founder/chairman,real estate,new,73,male,Hong Kong,HKG,169000000000.0,East Asia,self-made finance,5.9,Financial,True,Real Estate,not inherited,True,True
103,Lakshmi Mittal,52,2014,1989,ArcelorMittal,founder,raw materials,new,63,male,India,IND,0.0,South Asia,inherited,16.7,Resource Related,True,Non-consumer industrial,father,True,True
104,Vladimir Lisin,53,2014,1992,NLMK,owner,raw materials,aquired,57,male,Russia,RUS,0.0,Europe,privatized and resources,16.6,Resource Related,True,Non-consumer industrial,not inherited,True,True
105,Masatoshi Ito,54,1996,1961,Ito-Yokado,founder,retail,new,71,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,4.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
106,James Goodnight,54,2001,1976,SAS institute,founder,software,new,58,male,United States,USA,10600000000000.0,North America,founder non-finance,5.7,New Sectors,True,Technology-Computer,not inherited,True,True
107,Cheng Yu-tung,54,2014,1929,Chow Tai Fook Enterprises,relation,real estate,new,88,male,Hong Kong,HKG,0.0,East Asia,inherited,16.2,Financial,True,Diversified financial,father,True,True
108,Fukuzo Iwasaki,55,1996,1923,Iwasaki Sangyo Group,relation,real estate,new,71,male,Japan,JPN,4710000000000.0,East Asia,inherited,4.0,Financial,True,Real Estate,father,True,True
109,Masayoshi Son,55,2001,1981,Softbank,founder/CEO,software,new,43,male,Japan,JPN,4160000000000.0,East Asia,founder non-finance,5.6,Non-Traded Sectors,True,Media,not inherited,True,True
110,Joseph Safra,55,2014,1955,Banco Safra (now Saftra Group),founder,finance,new,75,male,Brazil,BRA,0.0,Latin America,self-made finance,16.0,Financial,True,Money Management,not inherited,True,True
111,Paul Allen,56,2014,1975,Microsoft,founder,software,new,61,male,United States,USA,0.0,North America,founder non-finance,15.9,New Sectors,True,Technology-Computer,not inherited,True,True
112,Barbara Cox Anthony,57,1996,1898,Cox Enterprises,relation,communication,aquired,72,female,United States,USA,8100000000000.0,North America,inherited,4.0,Non-Traded Sectors,True,Media,father,True,True
113,Robert Pritzker,57,2001,1957,Hyatt,founder,real estate,aquired,74,male,United States,USA,10600000000000.0,North America,self-made finance,5.5,Financial,True,Real Estate,father,True,True
114,Thomas Pritzker,57,2001,1957,Hyatt,relation,real estate,aquired,50,male,United States,USA,10600000000000.0,North America,inherited,5.5,Financial,True,Real Estate,father,True,True
115,Leonid Mikhelson,57,2014,1994,Novatek,chairman of management committee,raw materials,new,58,male,Russia,RUS,0.0,Europe,privatized and resources,15.6,Resource Related,True,Energy,not inherited,True,True
116,Anne Cox Chambers,58,1996,1898,Cox Enterprises,relation,communication,aquired,76,female,United States,USA,8100000000000.0,North America,inherited,4.0,Non-Traded Sectors,True,Media,father,True,True
117,Anne Cox Chambers,58,2014,1898,Cox Enterprises,relation,communication,aquired,94,female,United States,USA,0.0,North America,inherited,15.5,Non-Traded Sectors,True,Media,father,True,True
118,Iris Fontbona,58,2014,1888,Antofagasta PLC,relation,raw materials,aquired,71,female,Chile,CHL,0.0,Latin America,inherited,15.5,Resource Related,True,Mining and metals,spouse/widow,True,True
119,Curt Engelhorn,60,2001,1865,BASF/Boehringer Mannheim/DePuy,relation,medicals,new,74,male,Germany,DEU,1950000000000.0,Europe,inherited,5.4,New Sectors,True,Technology-Medical,4th generation,True,True
120,Gordon Moore,60,2001,1968,Intel ,founder,software,new,72,male,United States,USA,10600000000000.0,North America,founder non-finance,5.4,New Sectors,True,Technology-Computer,not inherited,True,True
121,Hasso Plattner,60,2001,1972,SAP AG,founder,software,new,57,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,5.4,New Sectors,True,Technology-Computer,not inherited,True,True
122,Paul-Louis Halley,60,2001,1961,Promodes,relation,retail,new,0,male,France,FRA,1380000000000.0,Europe,executive,5.4,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
123,Otto Beisheim,61,1996,1963,Metro AG,founder,service,new,72,male,Germany,DEU,2500000000000.0,Europe,founder non-finance,3.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
124,Azim Premji,61,2014,1945,Wipro Limited,relation,software,new,68,male,India,IND,0.0,South Asia,inherited,15.3,New Sectors,True,Technology-Computer,father,True,True
125,Mohammad Al Amoudi,61,2014,1970,MIDROC,founder,real estate,new,67,male,Saudi Arabia,SAU,0.0,Middle East/North Africa,privatized and resources,15.3,Resource Related,True,Energy,not inherited,True,True
126,Madeleine Schickedanz,62,1996,1927,Quelle Versand,relation,retail,new,52,female,Germany,DEU,2500000000000.0,Europe,inherited,3.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
127,Brenninkmeijer family,63,1996,1841,C&A,relation,retail,new,0,,Netherlands,NLD,443000000000.0,Europe,inherited,3.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
128,Gordon Moore,64,1996,1968,Intel ,founder,software,new,67,male,United States,USA,8100000000000.0,North America,founder non-finance,3.7,New Sectors,True,Technology-Computer,not inherited,True,True
129,Friedrich Flick,64,2001,1919,Friedrich Flick Industrial Holding,relation,raw materials,new,74,male,Germany,DEU,1950000000000.0,Europe,inherited,5.3,Financial,True,Money Management,father,True,True
130,Gustavo Cisneros,64,2001,1929,Cisneros Group,relation,communication,new,55,male,Venezuela,VEN,123000000000.0,Latin America,inherited,5.3,Non-Traded Sectors,True,Media,father,True,True
131,Walter Haefner,64,2001,1957,Automation Center,founder,software,new,90,male,Switzerland,CHE,279000000000.0,Europe,founder non-finance,5.3,New Sectors,True,Technology-Computer,not inherited,True,True
132,Wang Jianlin,64,2014,1988,Dalian Wanda Group,founder,real estate,new,59,male,China,CHN,0.0,East Asia,self-made finance,15.1,Financial,True,Real Estate,not inherited,True,True
133,Walter Annenberg,65,1996,1936,Philadelphia Inquirer,relation,communication,aquired,0,male,United States,USA,8100000000000.0,North America,inherited,3.7,Non-Traded Sectors,True,Media,father,True,True
134,Charles Ergen,65,2014,1980,dish networtk,founder,communication,new,61,male,United States,USA,0.0,North America,founder non-finance,15.0,Non-Traded Sectors,True,Media,not inherited,True,True
135,Steven Ballmer,66,1996,1975,Microsoft,CEO,software,new,39,male,United States,USA,8100000000000.0,North America,executive,3.7,New Sectors,True,Technology-Computer,not inherited,True,True
136,Gregorio Perez Companc,67,1996,1968,Petrolera Perez Companc,relation,raw materials,new,61,male,Argentina,ARG,272000000000.0,Latin America,inherited,3.6,Traded Sectors,True,Consumer,father,True,True
137,German Larrea Mota Velasco,67,2014,1978,Grupo Mexio,founder,raw materials,new,60,male,Mexico,MEX,0.0,Latin America,privatized and resources,14.7,Resource Related,True,Mining and metals,not inherited,True,True
138,Curt Engelhorn,68,1996,1865,BASF/Boehringer Mannheim/DePuy,relation,medicals,new,69,male,Germany,DEU,2500000000000.0,Europe,inherited,3.6,New Sectors,True,Technology-Medical,4th generation,True,True
139,Yoshitaka Fukuda,68,2001,1967,Aiful,founder,finance,new,53,male,Japan,JPN,4160000000000.0,East Asia,self-made finance,5.2,Financial,True,Money Management,not inherited,True,True
140,Harold Hamm,68,2014,1967,Continental Resources,founder,raw materials,new,68,male,United States,USA,0.0,North America,privatized and resources,14.6,Resource Related,True,Energy,not inherited,True,True
141,Donald Bren,69,2014,1864,Irvine Company,owner,real estate,aquired,81,male,United States,USA,0.0,North America,self-made finance,14.4,Financial,True,Real Estate,not inherited,True,True
142,Ray Dalio,69,2014,1975,Bridgewater Associates,founder,finance,new,64,male,United States,USA,0.0,North America,self-made finance,14.4,Financial,True,Hedge funds,not inherited,True,True
143,James Arthur and John Irving,70,1996,1882,J.D. Irving,relation,raw materials,new,0,male,Canada,CAN,627000000000.0,North America,inherited,3.5,Resource Related,True,Energy,3rd generation,True,True
144,Donald Newhouse,70,2001,1909,Advance Publications,relation,communication,new,71,male,United States,USA,10600000000000.0,North America,inherited,5.0,Non-Traded Sectors,True,Media,father,True,True
145,Michael Otto,70,2001,1923,Metro AG,relation,retail,new,57,male,Germany,DEU,1950000000000.0,Europe,inherited,5.0,Non-Traded Sectors,True,"Retail, Restaurant",3rd generation,True,True
146,Samuel Newhouse,70,2001,1909,Advance Publications,relation,communication,new,73,male,United States,USA,10600000000000.0,North America,inherited,5.0,Non-Traded Sectors,True,Media,father,True,True
147,Philip Niarchos,71,1996,1952,Niarchos Ltd,relation,service,new,42,male,Greece,GRC,147000000000.0,Europe,inherited,3.5,0,True,Other,father,True,True
148,Wang Yue-che,72,1996,1954,Formosa Plastics,founder,raw materials,new,79,male,Taiwan,Taiwan,0.0,East Asia,founder non-finance,3.5,Traded Sectors,True,Consumer,not inherited,True,True
